_id,year,fighter1_id,fighter1_name,fighter2_id,fighter2_name,winner,weight_class,method,end_round,fighter1_wins,fighter1_losses,fighter1_draws,fighter1_ncs,fighter1_wko,fighter1_wsub,fighter1_wdec,fighter1_wdq,fighter1_lko,fighter1_lsub,fighter1_ldec,fighter1_ldq,fighter1_rounds_fought,fighter1_total_time_fought,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_birthyear,fighter1_KD,fighter1_SS,fighter1_SSA,fighter1_TD,fighter1_TDA,fighter1_SUBATT,fighter1_REV,fighter1_CTRL,fighter1_HS,fighter1_HSA,fighter1_BS,fighter1_BSA,fighter1_LS,fighter1_LSA,fighter1_DS,fighter1_DSA,fighter1_CS,fighter1_CSA,fighter1_GS,fighter1_GSA,fighter1_DOWNED,fighter1_SSD,fighter1_SSR,fighter1_TDD,fighter1_TDR,fighter1_REVED,fighter1_CTRLED,fighter1_HSD,fighter1_HSR,fighter1_BSD,fighter1_BSR,fighter1_LSD,fighter1_LSR,fighter1_DSD,fighter1_DSR,fighter1_CSD,fighter1_CSR,fighter1_GSD,fighter1_GSR,fighter2_wins,fighter2_losses,fighter2_draws,fighter2_ncs,fighter2_wko,fighter2_wsub,fighter2_wdec,fighter2_wdq,fighter2_lko,fighter2_lsub,fighter2_ldec,fighter2_ldq,fighter2_rounds_fought,fighter2_total_time_fought,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_birthyear,fighter2_KD,fighter2_SS,fighter2_SSA,fighter2_TD,fighter2_TDA,fighter2_SUBATT,fighter2_REV,fighter2_CTRL,fighter2_HS,fighter2_HSA,fighter2_BS,fighter2_BSA,fighter2_LS,fighter2_LSA,fighter2_DS,fighter2_DSA,fighter2_CS,fighter2_CSA,fighter2_GS,fighter2_GSA,fighter2_DOWNED,fighter2_SSD,fighter2_SSR,fighter2_TDD,fighter2_TDR,fighter2_REVED,fighter2_CTRLED,fighter2_HSD,fighter2_HSR,fighter2_BSD,fighter2_BSR,fighter2_LSD,fighter2_LSR,fighter2_DSD,fighter2_DSR,fighter2_CSD,fighter2_CSR,fighter2_GSD,fighter2_GSR
c962bd169b31e238,2010,1ccf4e7caff270df2010,Dan Henderson,d468288756ae39822010,Renato Sobral,1,Light Heavyweight Bout,KO/TKO,1,21,8,0,0,11,1,9,0,0,3,5,0,63,25968,71,185,74,Orthodox,1970,14,826,1682,44,71,11,7,1436,567,1375,127,156,132,151,342,951,214,303,270,428,7,768,1578,49,84,4,1880,716,1156,29,250,23,172,572,982,51,158,145,438,11,6,0,0,0,6,5,0,5,0,1,0,34,13457,73,205,75,Orthodox,1975,0,310,686,23,54,24,2,2693,181,505,68,103,61,78,122,364,66,99,122,223,5,291,504,17,26,1,1597,279,448,10,34,2,22,211,311,16,43,64,150
d3734b53a2700ea5,2010,3410cf010558dc8b2010,Scott Smith,23725c826c481e7f2010,Paul Daley,2,Welterweight Bout,KO/TKO,1,5,7,0,1,5,0,0,0,3,3,1,0,27,10191,72,185,70,Orthodox,1979,7,208,742,1,11,4,0,666,158,647,22,38,28,57,145,604,51,119,12,19,10,610,1200,13,21,0,1286,572,988,32,148,6,64,507,888,63,184,40,128,7,2,0,0,7,0,0,0,0,1,1,0,13,5269,69,170,76,Orthodox,1983,7,144,287,1,4,0,0,13,103,232,24,32,17,23,87,217,29,40,28,30,0,169,260,11,20,0,742,156,211,9,37,4,12,142,178,13,32,14,50
57a19ff5cc23ec04,2010,0e041d43a47d2e4b2010,Matt Lindland,f2925e6db404bf1d2010,Robbie Lawler,2,Middleweight Bout,KO/TKO,1,11,8,0,0,4,1,5,1,4,3,1,0,40,15861,72,185,74,Southpaw,1970,1,444,874,34,70,15,7,4676,315,719,58,72,71,83,91,339,137,201,216,334,5,288,553,17,28,6,987,265,413,15,93,8,47,220,328,41,135,27,90,9,5,0,1,7,0,2,0,1,3,1,0,29,10989,71,170,74,Southpaw,1982,10,377,909,14,18,0,1,906,284,801,78,90,15,18,200,623,129,198,48,88,1,672,1030,16,20,0,379,575,723,33,126,64,181,591,848,80,181,1,1
b6dafa419ef200e1,2010,8349d55cdecd393a2010,Antonio Silva,56b8b24f65f9f0572010,Mike Kyle,1,Heavyweight Bout,KO/TKO,2,6,1,0,0,3,1,2,0,0,0,1,0,15,6009,76,264,82,Orthodox,1979,4,195,451,6,12,5,1,666,153,400,15,20,27,31,89,240,46,76,60,135,1,200,311,12,17,2,726,187,251,11,34,2,26,153,215,22,39,25,57,3,5,1,0,2,1,0,0,3,2,0,0,12,4889,76,205,77,Orthodox,1980,3,124,220,2,4,3,1,617,63,156,40,43,21,21,44,114,38,44,42,62,1,94,195,9,18,1,191,88,170,4,9,2,16,48,73,3,9,43,113
34eaa4365938c168,2010,01b39decaf0abf6a2010,Benji Radach,50db8711c70196cd2010,Ovince Saint Preux,2,Light Heavyweight Bout,UDEC,3,2,3,0,1,1,0,1,0,1,0,2,0,13,5138,70,185,--,Orthodox,1979,4,162,324,5,12,2,0,994,141,294,11,19,10,11,86,205,30,53,46,66,3,145,281,19,23,1,927,137,239,2,22,6,20,115,161,11,18,19,102,2,0,0,0,0,0,2,0,0,0,0,0,6,2400,75,205,80,Southpaw,1983,2,118,177,2,2,3,0,546,85,143,31,32,2,2,21,55,6,11,91,111,0,29,64,7,11,0,217,29,55,0,1,0,8,20,34,3,16,6,14
96680f12f06edfee,2010,b4ad3a06ee4d660c2010,Alistair Overeem,9141bb39310773c72010,Brett Rogers,1,Strikeforce Heavyweight Title Bout,KO/TKO,1,19,8,0,1,10,7,2,0,6,1,1,0,37,16534,76,265,80,Orthodox,1980,9,574,1046,24,32,17,0,145,295,685,205,265,74,96,132,375,193,279,249,392,2,497,743,34,47,3,0,467,641,21,75,9,27,332,423,64,121,101,199,4,2,0,0,4,0,0,0,2,0,0,0,8,3053,77,265,81,Orthodox,1981,4,84,186,0,0,0,1,219,52,147,23,27,9,12,26,89,54,87,4,10,1,72,149,9,14,0,356,63,112,4,22,5,15,37,54,14,35,21,60
51c738179ce03407,2010,3738e68d2261e60f2010,Andrei Arlovski,8349d55cdecd393a2010,Antonio Silva,2,Heavyweight Bout,UDEC,3,12,7,0,0,9,2,1,0,5,0,2,0,36,13625,75,240,77,Orthodox,1979,10,414,1048,4,9,6,0,490,240,803,32,52,142,193,316,884,75,123,23,41,4,535,830,38,44,1,1223,510,710,10,38,15,82,485,695,30,72,20,63,6,1,0,0,3,1,2,0,0,0,1,0,15,6009,76,264,82,Orthodox,1979,4,195,451,6,12,5,1,666,153,400,15,20,27,31,89,240,46,76,60,135,1,200,311,12,17,2,726,187,251,11,34,2,26,153,215,22,39,25,57
ab4f26f7becb3fa6,2010,7a703c565ccaa18f2010,Jacare Souza,15515e797aedc1372010,Joey Villasenor,1,Catch Weight Bout,UDEC,3,6,1,0,1,0,3,3,0,1,0,0,0,15,6251,73,185,72,Orthodox,1979,0,139,384,15,36,13,2,748,107,343,20,27,12,14,75,280,23,37,41,67,0,198,314,4,9,5,128,185,243,11,37,2,34,178,270,12,30,8,14,2,4,0,0,2,0,0,0,2,0,2,0,10,4043,72,185,--,Orthodox,1975,2,87,226,2,5,3,1,172,62,191,18,27,7,8,64,177,14,27,9,22,2,150,288,14,26,0,596,139,224,4,37,7,27,112,194,9,34,29,60
e53a755795517545,2010,a6bbd3df469c6bea2010,Roger Gracie,6859f67468ba84892010,Kevin Randleman,1,Light Heavyweight Bout,SUB,2,1,0,0,0,0,1,0,0,0,0,0,0,2,850,76,185,79,Orthodox,1981,1,15,94,0,0,3,0,129,11,88,4,6,0,0,10,87,5,7,0,0,0,11,18,1,1,0,91,9,10,1,5,1,3,10,17,1,1,0,0,8,12,0,0,2,0,6,0,3,6,3,0,48,18681,70,205,--,Orthodox,1971,5,272,584,40,64,13,2,2756,228,535,33,36,11,13,79,235,33,51,160,298,4,327,560,4,13,2,778,300,414,15,87,12,59,284,367,14,93,29,100
1601aad5b26dc804,2010,5c1ca0c72b599a3c2010,Rafael Cavalcante,2833f50b20e96e522010,Antwain Britt,1,Light Heavyweight Bout,KO/TKO,1,6,0,0,0,6,0,0,0,0,0,0,0,9,3688,73,205,74,Orthodox,1980,5,155,239,3,6,0,0,48,102,178,31,37,22,24,47,104,78,95,30,40,0,117,227,13,15,0,237,106,154,9,50,2,23,94,148,22,74,1,5,0,2,0,0,0,0,0,0,1,0,1,0,4,1725,73,205,77,--,1978,0,28,69,2,5,0,0,83,25,66,1,1,2,2,18,47,3,9,7,13,1,39,89,0,1,0,31,38,64,1,23,0,2,30,51,3,12,6,26
